Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Date Added
Receptor Recognition by the Novel Coronavirus from Wuhan: an Analysis Based on Decade-Long Structural Studies of SARS Coronavirus,"Wan, Y.; Shang, J.; Graham, R.; Baric, R. S.; Li, F.","Recently, a novel coronavirus (2019-nCoV) has emerged from Wuhan, China, causing symptoms in humans similar to those caused by severe acute respiratory syndrome coronavirus (SARS-CoV). Since the SARS-CoV outbreak in 2002, extensive structural analyses have revealed key atomic-level interactions between the SARS-CoV spike protein receptor-binding domain (RBD) and its host receptor angiotensin-converting enzyme 2 (ACE2), which regulate both the cross-species and human-to-human transmissions of SARS-CoV. Here, we analyzed the potential receptor usage by 2019-nCoV, based on the rich knowledge about SARS-CoV and the newly released sequence of 2019-nCoV. First, the sequence of 2019-nCoV RBD, including its receptor-binding motif (RBM) that directly contacts ACE2, is similar to that of SARS-CoV, strongly suggesting that 2019-nCoV uses ACE2 as its receptor. Second, several critical residues in 2019-nCoV RBM (particularly Gln493) provide favorable interactions with human ACE2, consistent with 2019-nCoV's capacity for human cell infection. Third, several other critical residues in 2019-nCoV RBM (particularly Asn501) are compatible with, but not ideal for, binding human ACE2, suggesting that 2019-nCoV has acquired some capacity for human-to-human transmission. Last, while phylogenetic analysis indicates a bat origin of 2019-nCoV, 2019-nCoV also potentially recognizes ACE2 from a diversity of animal species (except mice and rats), implicating these animal species as possible intermediate hosts or animal models for 2019-nCoV infections. These analyses provide insights into the receptor usage, cell entry, host cell infectivity and animal origin of 2019-nCoV and may help epidemic surveillance and preventive measures against 2019-nCoV.IMPORTANCE The recent emergence of Wuhan coronavirus (2019-nCoV) puts the world on alert. 2019-nCoV is reminiscent of the SARS-CoV outbreak in 2002 to 2003. Our decade-long structural studies on the receptor recognition by SARS-CoV have identified key interactions between SARS-CoV spike protein and its host receptor angiotensin-converting enzyme 2 (ACE2), which regulate both the cross-species and human-to-human transmissions of SARS-CoV. One of the goals of SARS-CoV research was to build an atomic-level iterative framework of virus-receptor interactions to facilitate epidemic surveillance, predict species-specific receptor usage, and identify potential animal hosts and animal models of viruses. Based on the sequence of 2019-nCoV spike protein, we apply this predictive framework to provide novel insights into the receptor usage and likely host range of 2019-nCoV. This study provides a robust test of this reiterative framework, providing the basic, translational, and public health research communities with predictive insights that may help study and battle this novel 2019-nCoV.",2020,,Journal of virology,94,7,,31996437,10.1128/jvi.00127-20,13868,#13107,Wan 2020,,"Reservoir; Virology, immunology",24-03-20
Procedures of health protection and control for COVID-19 during X-ray imaging examinations in Jiangsu province,"WANG, Jin; ZHU, Baoli; YANG, Chunyong; CHEN, Wei; MA, Jiayi; YU, Ningle","X-ray imaging is an important method for the diagnosis of corona virus disease(COVID-19), but there is a risk of nosocomial infection during X-ray imaging diagnosis. By analyzing the process of X-ray imaging diagnosis and the possible infection factors in hospital, Jiangsu province took the lead in issuing the Guideline for the nosocomial infection prevention and control of X-ray imaging diagnosis of COVID-19. This guideline clarifies the basic requirements for controlling infections during X-ray imaging diagnosis, the specific measures for staff protection, disinfection of personnel and places, and the protection and disinfection of subjects, which is instructive for field work. It is worth noting that while focusing on controlling infections, the principle of optimal protection for medical exposure cannot be ignored.",2020,,Chinese Journal of Radiological Medicine and Protection,40,0,E005-E005,,,12753,#11840,WANG 2020,,"Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
Imaging manifestations and diagnostic value of chest CT of coronavirus disease 2019 (COVID-19) in the Xiaogan area,"Wang, K.; Kang, S.; Tian, R.; Zhang, X.; Wang, Y.",Highlights • We summarized the imaging features of chest CT in patients of COVID-19 and to explore clinical diagnostic value of COVID-19. • The result showed that SPO2 and lymphocytes could reflect inflammation in the lungs to some extent. •,2020,,Clinical Radiology,,,,,10.1016/j.crad.2020.03.004,12493,#11842,Wang 2020,,"Clinical aspects, diagnosis, treatment",24-03-20
Clinical and epidemiological characteristics of 34 children with 2019 novel coronavirus infection in Shenzhen,"WANG, Xianfeng; YUAN, Jing; ZHENG, Yuejie; CHEN, Jun; BAO, Yanmin; WANG, Yanrong; WANG, Lifei; LI, Hong; ZENG, Jiaxing; ZHANG, Yonghong; LIU, Yingxia; LIU, Lei","To describe the characteristics of clinical manifestations and epidemiology of children with 2019 novel coronavirus (2019-nCoV) infection.;;Methods;All 34 children with laboratory-confirmed 2019-nCoV infection by quantitative real-time reverse transcription-PCR through nasopharyngeal swab specimens were admitted to the Third People&rsquo;s Hospital of Shenzhen from January 19 to Febuary 7, 2020. Clinical data and epidemiological history of these patients were retrospectively collected and analyzed.;;Results;Among the 34 cases, 14 were males, and 20 were females. The median age was 8 years and 11 months. No patients had underlying diseases. There were 28 children (82%) related with a family cluster outbreak. There were 26 children (76%) with a travel or residence history in Hubei Province. These patients could be categorized into different clinical types, including 22 (65%) common cases, 9 (26%) mild cases and 3 (8.8%) asymptomatic cases. No severe or critical cases were identified. The most common symptoms were fever (17 cases, 50%) and cough (13 cases, 38% ). In the 34 cases, the white blood cell counts of 28 cases (82%) were normal. Five cases had white blood cell counts more than 10&times;10&lt;sup&gt;9&lt;/sup&gt;/L. One case had white blood cell counts less than 4&times;10&lt;sup&gt;9&lt;/sup&gt;/L. Neutropenia and lymphopenia was found in one case, respectively. C-reactive protein levels and erythrocyte sedimentation rates were elevated in 1 and 5 case, respectively. Elevated procalcitonin was found in 1 case and D-Dimer in 3 cases. The levels of lactic dehydrogenase (LDH) were more than 400 U/L in 10 cases. The CT images of these patients showed bilateral multiple patchy or nodular ground-glass opacities and/or infiltrating shadows in middle and outer zone of the lung or under the pleura. Twenty patients were treated with lopinavir and ritonavir. Glucocorticoids and immunoglobulin were not used in any cases. All the cases improved and were discharged from hospital. Further following up was need.;;Conclusions;The clinical manifestations in children with 2019-nCoV infection are non-specific and are milder than that in adults. Chest CT scanning is heplful for early diagnosis. Children&amp;apos;s infection is mainly caused by family cluster outbreak and imported cases. Family daily prevention is the main way to prevent 2019-nCoV infection. ;",2020,,Chinese Journal of Pediatrics,58,0,E008-E008,,,12649,#11849,WANG 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",24-03-20
[COVID-19 complicated with DIC: 2 cases report and literatures review] Coronavirus Disease 2019 outbreak: preparedness and readiness of countries in the Eastern Mediterranean Region,"Wang, Y. D.; Zhang, S. P.; Wei, Q. Z.; Zhao, M. M.; Mei, H.; Zhang, Z. L.; Hu, Y.; Al-Mandhari, A.; Samhouri, D.; Abubakar, A.; Brennan, R.","On 31 December 2019, a cluster of acute respiratory illness was reported from China and later confirmed as novel coronavirus on 7 January 2020. This virus is the same member of the coronavirus family that caused the severe acute respiratory syndrome (SARS-CoV) reported in China 2003, and Middle East respiratory syndrome (MERS-CoV) reported in Saudi Arabia in 2012. The initial cases have been linked to a live seafood market in Wuhan, China, and the specific animal source is yet to be determined. The detection of this new virus in humans without knowing the source of the infection has raised greatly heightened concerns not only in China, but also internationally. To date, the outbreak has spread to most provinces in China and 25 other countries within a relatively short period. Consequent to its spread, Dr Tedros Ghebreyesus, Director General of the World Health Organization (WHO), declared the outbreak a Public Health Emergency of International Concern (PHEIC) on 30 January 2020.",2020,,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit,41,0,E001,32141588,10.3760/cma.j.issn.0253-2727.2020.0001 10.26719/2020.26.2.136,13172,#13154,Wang 2020,,* Narrative review; Epidemiology,24-03-20
Epidemiological and clinical characteristics analysis of 30 childhood cases with 2019 novel coronavirus infection in Shenzhen,"WANG, Yanrong; WANG, Xianfeng; YANG, Yang; LIU, Yingxia; LIU, Lei","Objectives;To analyze the epidemiological and clinical characteristics of children with 2019 novel coronavirus (2019-nCoV) infection in Shenzhen.;;Methods;The data of 30 children diagnosed with 2019-nCoV infection in the Third People&rsquo;s Hospital of Shenzhen from 16th January 2020 to 9th February 2020were collected.;;Results;Among the 30 children, 14 were boys and 16 were girls. There were 10 mild cases, 13 common cases and one severe case, and six cases with asymptomatic infection. The age ranged from 7 months to 18 years old with the median age of 7 years old. Twenty out of 30 cases (66.7%) were school children. The common clinical characteristics were fever (30.0%, 9/30) and cough (23.3%, 7/30). The body temperature waved below 37.5 &#8451;. Mostly the auscultations of the lungs were no rales and there was no extrapulmonary complication. A total number of one case had wheezes and hypoxia, and one case had diarrhea and vomiting. There was no critical and death case. There were 29 cases with travelling experience in Hubei province within two weeks, and 24 cases (80.0%) had relatives (parents or grandparents) diagnosed with 2019-nCoV infection. Elevated white blood cell counts (&#65125;12&times;10&lt;sup&gt;9&lt;/sup&gt;/L), C reaction protein level, lactate dehydrogenase level and the low proportion of T help cells occurred in three, five, five and three cases, respectively. Some cases were coinfected with human respiratory syncytial virus, mycoplasma pneumonia, human herpesvirus, influenza B virus and rubella virus. The predominant pattern of computed tomography findings of childhood patients with 2019-nCoV infection presented with patchy film and ground-glass opacities in bilateral or unilateral lung. The median time for nucleic acid to turn negative was eight days among the enrolled cases. All the cases were cured and discharged home, and the days in hospital waved from 5 - 16 days (the median time was 12 days).;;Conclusions;The majority of the childhood cases are the school-age children with family cluster. Most cases present mild and common symptoms with good prognosis. Some patients may be complicated with multiple infections. ;",2020,,Chinese Journal of Infectious Diseases,38,0,E012-E012,,,12643,#11851,WANG 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment; Epidemiology",24-03-20
Coronavirus: global solutions to prevent a pandemic,"Watts, C. H.; Vallance, P.; Whitty, C. J. M.",,2020,,Nature,578,7795,363,32071448,10.1038/d41586-020-00457-y,13004,#13248,Watts 2020,,* Opinion piece; Infection prevention and control,24-03-20
Fight against coronavirus disease 2019: epidemic prevention and infection control in Naval medical team camps,"Wei, Bo; Sheng, YueHong; Ni, LiuDa; Zhou, Quan; Wang, JunXue","Since December 2019, many cases of pneumonia of unknown causes have been found in Wuhan and surrounding areas of Hubei Province, China. With the aggravation of the epidemic, on January 24, 2020, medical team of Naval Medical University (Second Military Medical University) in Wuhan started emergency medical rescue. This medical rescue was not only a treatment war, but also an antiepidemic war. It is very important to have strict personal protection, disinfection and isolation measures and epidemic prevention in the camp, which are the precondition and guarantee to ensure zero infection of medical staff. In this paper, we introduce our measures and experience on epidemic prevention and infection control, such as personnel management and decontamination.",2020,,Academic Journal of Second Military Medical University,41,2,191-193,,10.16781/j.0258-879x.2020.02.0191,12560,#11856,Wei 2020,,* Opinion piece; Infection prevention and control,24-03-20
Early antiviral therapy of abidor combined with lopinavir/ritonavir and re-combinant interferon&#x03B1;-2b in patients with novel coronavirus pneumonia in Zhejiang: A multicenter and prospective study,"WEI, Runan; ZHENG, Nanhong; JIANG, Xiangao; MA, Chunlian; XU, Xiaowei; LIU, Shourong; CHEN, Yongping; XU, Kaijin; GAO, Hainv; ZHU, Jiansheng; SHU, Qiang; SHENG, Jifang; ZHANG, Xiaoqiang; LI, Minghui; ZHANG, Yan; MA, Mengjie; ZHANG, Xuan; LI, Shibo; WANG, Qiujing; YING, Lingjun; ZHANG, Yongjun; SHI, Yunzhen; FAN, Lingyan; YU, Wanjun; WANG, Huaying; SUN, Dandan; WANG, Xiaodong; SHI, Jichan; CHEN, Yinghu; XIE, Xinsheng; CHEN, Yunqing; WANG, Weihong; TONG, Zhaowei; TANG, Lingling; ZHU, Mengfei; ZHANG, Lingjian; LI, Lanjuan","Comparing the benefit of Abidor, lopinavir/ritonavir and recombinant interferon &alpha;-2b triple combination antiviral therapy and lopinavir/ritonavir and interferon dual combination antiviral therapy to hospitalized novel coronavirus pneumonia 2019 in Zhejiang province.;;Methods;A multi-center prospective study was carried out to compare the effect of triple combination antiviral therapy with dual combination antiviral therapy in 15 medical institutions of Zhejiang Province. All patients were treated with recombinant interferon &alpha;-2b (5 million U, 2 times/d) aerosol inhalation. 196 patients were treated with abidol (200 mg, 3 times/d) + lopinavir / ritonavir (2 tablets, 1 time/12 h) as the triple combination antiviral treatment group. 41 patients were treated with lopinavir / ritonavir (2 tablets, 1 time/12 h) as the dual combination antiviral treatment group. The patients who received triple combination antiviral therapy were divided into three groups: within 48 hours, 3-5 days and &gt; 5 days after the symptom onset. To explore the therapeutic effects of triple combination antiviral drugs and dual combination antiviral drugs, as well as triple combination antiviral drugs with different antiviral initiate time. SPSS17.0 software was used to analyze the data.;;Results;The time of virus nucleic acid turning negative was (12.2 &plusmn; 4.7) days in the triple combination antiviral drug group, which was shorter than that in the dual combination antiviral drug group [(15.0 &plusmn; 5.0) days] (&lt;italic&gt;t&lt;/italic&gt; = 6.159, &lt;italic&gt;P&lt;/italic&gt; &lt; 0.01 ). The length of hospital stay [12 (9, 17) d] in the triple combination antiviral drug group was also shorter than that in the dual combination antiviral drug group [15 (10, 18) d] (H = 2.073, P &lt; 0.05). Comparing the antiviral treatment which was started within 48 hours, 3-5 days and &gt; 5 days after the symptom onset of triple combination antiviral drug group, the time from the symptom onset to the negative of viral shedding was 13 (10,16.8), 17 (13,22) and 21 (18-24) days respectively (Z = 32.983, P &lt; 0.01), and the time from antiviral therapy to the negative of viral shedding was (11.8&plusmn;3.9) , (13.5&plusmn;5.1) and (11.2&plusmn;4.3) d. The differences among the three groups were statistically significant (Z=32.983 and 6.722, &lt;italic&gt;P&lt;/italic&gt;&lt;0.01 or&lt;0.05).;;Conclusions;The triple combination antiviral therapy of Abidor, Lopinavir/Litonavir and recombinant interferon &alpha;-2b showed shorter viral shedding time and hospitalization time compared with the dual combination antiviral therapy. The earlier the time to initiate triple antiviral treatment, the shorter the time of virus shedding. ;",2020,,Chinese Journal of Clinical Infectious Diseases,13,0,E010-E010,,,12638,#11858,WEI 2020,,"* Comparative study, RCT; Clinical aspects, diagnosis, treatment",24-03-20
Fitting and forecasting the trend of COVID-19 by SEIR<sup>+ CAQ</sup> dynamic model,"WEI, Yongyue; LU, Zhenzhen; DU, Zhicheng; ZHANG, Zhijie; ZHAO, Yang; SHEN, Sipeng; WANG, Bo; HAO, Yuantao; CHEN, Feng","Objectives;Fitting and forecasting the trend of COVID-19 epidemics.;;Methods;Based on SEIR dynamic model, considering the COVID-19 transmission mechanism, infection spectrum and prevention and control procedures, we developed SEIR&lt;sup&gt;+ CAQ&lt;/sup&gt; dynamic model to fit the frequencies of laboratory confirmed cases obtained from the government official websites. The data from January 20, 2020 to February 7, 2020 were used to fit the model, while the left data between February 8-12 were used to evaluate the quality of forecasting.;;Results;According to the cumulative number of confirmed cases between January 29 to February 7, the fitting bias of SEIR&lt;sup&gt;+ CAQ&lt;/sup&gt; model for overall China (except for cases of Hubei province), Hubei province (except for cases of Wuhan city) and Wuhan city was less than 5%. For the data of subsequent 5 days between February 8 to 12, which were not included in the model fitting, the prediction biases were less than 10%. Regardless of the cases diagnosed by clinical examines, the numbers of daily emerging cases of China (Hubei province not included), Hubei Province (Wuhan city not included) and Wuhan city reached the peak in the early February. Under the current strength of prevention and control, the total number of laboratory- confirmed cases in overall China will reach 80 417 till February 29, 2020, respectively.;;Conclusions;The proposed SEIR&lt;sup&gt;+ CAQ&lt;/sup&gt; dynamic model fits and forecasts the trend of novel coronavirus pneumonia well and provides evidence for decision making. ;",2020,,Chinese Journal of Epidemiology,41,4,470-475,,,12786,#11859,WEI 2020,,Epidemiology,24-03-20
Betrachtung der Pandemie Phase 3 – „mitigation“ – vom Endpunkt Hospitalisation her,"Weigl, Josef","Die Phase 3 – „mitigation“ – der jetzigen Pandemie durch das SARS-CoV‑2 steht nun auch in Deutschland unmittelbar bevor. Da es aufgrund der hohen Komplexität sehr viel zu beachten gibt, ist Vereinfachung dringend geboten, nicht zuletzt auch, um den Fokus auf die wichtigen Dinge nicht aus den Augen zu verlieren. Die Phase 3 vom Endpunkt, und zwar der stationären Behandlung (Hospitalisation), her zu betrachten, soll den Blick auf die Einflussgrößen flussaufwärts schärfen. Auf der Grundlage einer simplifizierten Modellierung mit Hilfe von angenäherten und plausiblen Parametern für die Infektionsrate (attack rate), hier als AR(gesamt) bezeichnet, die Rate für eine stationäre Aufnahme – AR(stationär) und die Rate für eine intensivmedizinische Behandlung – AR(intensiv), werden als SOLL mit den verfügbaren Ressourcen, sprich Betten im allgemeinstationären und intensivmedizinischen Bereich, IST, verglichen. Die Berechnungen werden populations-bezogen je für den Landkreis Plön und die Metropolregion Kiel zusammen mit Kreis Plön ausgeführt. Da in den bisherigen Kohorten die Prozentsätze der notwendigen Maßnahmen überschätzt werden, sollte eine deutlich niedrigere AR(stationär) und AR(intensiv) zu erwarten sein. Eine AR(stationär) von 10 % wäre für den Flächenkreis Plön nicht abzubilden, eine mit 5 % sehr wohl. In der regionalen Betrachtung mit dem Universitätsklinikum SH, Standort Kiel, lässt sich sogar eine AR(stationär) von bis zu 10 % abbilden, insbesondere auch eine AR(intensiv) von 3 %. Allerdings ist die Anflutungsgeschwindigkeit von den epidemiologischen Gegenmaßnahmen und dem Einweisungsverhalten abhängig. Die verfügbare Bettenanzahl wird von der freigemachten Bettenzahl und der Liegedauer bestimmt; letztere von Alter und Vorerkrankungen der Patienten. Ein Systemversagen sollte durch Klarheit über die entscheidenden Parameter und ihrer Einflussgrößen vermieden werden. Die regionale Betrachtung der Versorgung ist wichtig und sollte von einem Bettenkoordinator gesteuert werden. Auf die enge Zusammenarbeit im Gesamtversorgungssystem im Schulterschluss mit den Gesundheitsämtern kommt es an.",2020,,Prävention und Gesundheitsförderung,,,01-Aug,,10.1007/s11553-020-00771-3,12504,#11860,Weigl 2020,,,24-03-20
Catheterization Laboratory Considerations During the Coronavirus (COVID-19) Pandemic: From ACC's Interventional Council and SCAI,"Welt, Frederick G. P.; Shah, Pinak B.; Aronow, Herbert D.; Bortnick, Anna E.; Henry, Timothy D.; Sherwood, Matthew W.; Young, Michael N.; Davidson, Laura J.; Kadavath, Sabeeda; Mahmud, Ehtisham; Kirtane, Ajay J.",,2020,,Journal of the American College of Cardiology,,,,,10.1016/j.jacc.2020.03.021,12469,#11861,Welt 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
Breaking the chain of infection,"Williams, Tracey",,2020,,Journal of Perioperative Practice,30,4,83-84,,10.1177/1750458920914256,12483,#11863,Williams 2020,,* Opinion piece; Infection prevention and control,24-03-20
Travellers give wings to novel coronavirus (2019-nCoV),"Wilson, M. E.; Chen, L. H.",,2020,,Journal of travel medicine,27,2,,32010938,10.1093/jtm/taaa015,14371,#13273,Wilson 2020,,* Narrative review; * Opinion piece; Epidemiology; Infection prevention and control,24-03-20
Emergency Caesarean delivery in a patient with confirmed coronavirus disease 2019 under spinal anaesthesia,"Xia, H.; Zhao, S.; Wu, Z.; Luo, H.; Zhou, C.; Chen, X.",,2020,,British journal of anaesthesia,,,,32192580,10.1016/j.bja.2020.02.016,13428,#13302,Xia 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
Discussions on the emergency medical procedure of children&apos;s hospitals against COVID-19 epidemic,"XU, Hongzhen; CHEN, Shuohui; WANG, Tianlin; YU, Gang; LAI, Can; SHU, Qiang","December 2019 witnessed the outbreak of COVID-19 in Wuhan, Hubei province of China, which has soon spread nationwide and across national borders, posting a menacing pandemic threat. Children are themselves highly susceptible infectious diseases in normal times not to mention an epidemic period. Coupled with the high incidence of seasonal influenza, it is imperative to strengthen epidemiological screening of children, along with effective isolation, treatment, prevention and control measures. In view of specifics of the hospital, the authors proposed to further improve the medical emergency procedure, strictly enforcing screening and isolation regulations, and standardizing medical procedure. They also proposed scientific layout and use of the infection wards. These measures are designed to control the epidemic and protect the safety of medical staff.",2020,,Chinese Journal of Hospital Administration,36,0,E009-E009,,,12689,#11878,XU 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",24-03-20
Topological dynamics of the 2015 South Korea MERS-CoV spread-on-contact networks,"Yang, C. H.; Jung, H.","Network analysis to examine infectious contact relations provides an important means to uncover the topologies of individual infectious contact networks. This study aims to investigate the spread of diseases among individuals over contact networks by exploring the 2015 Middle East Respiratory Syndrome (MERS) outbreak in Korea. We present several distinct features of MERS transmission by employing a comprehensive approach in network research to examine both the traced relationship matrix of infected individuals and their bipartite transmission routes among healthcare facilities visited for treatment. The results indicate that a few super-spreaders were more likely to hold certain structural advantages by linking to an exceptional number of other individuals, causing several ongoing transmission events in neighbourhoods without the aid of any intermediary. Thus, the infectious contact network exhibited small-world dynamics characterised by locally clustered contacts exposed to transmission paths via short path lengths. In addition, nosocomial infection analysis shows the pattern of a common-source outbreak followed by secondary person-to-person transmission of the disease. Based on the results, we suggest policy implications related to the redesign of prevention and control strategies against the spread of epidemics.",2020,,Scientific reports,10,1,4327,32152361,10.1038/s41598-020-61133-9,14273,#13346,Yang 2020,,* Epidemiological study; Other related diseases and viruses,24-03-20
Experience in prevention and control of COVID-19 in tramatological and microsurgical wards,"YANG, Fan; HU, Jing; HU, Lanping; LI, Zonghuan; YU, Aixi; ZHANG, Yingying","To report our experience in the prevention and control of COVID-19 in the tramatological and microsurgical wards.;;Methods;A retrospective study was conducted of the COVID-19 infections in the 51 medical staff and patients from 31 December, 2019 to 14 February, 2020 at Department of Traumatology and Microsurgery, Zhongnan Hospital. The prevention and control measures were upgraded after 20 January, 2020 to address the serious epidemic situation, including preventive disinfection, terminal disinfection and personnel disinfection in wards, management of emergency patients, inpatients and patients suspected of COVID-19 infection, and training, management and psychological intervention of medical staff. The outcomes resulting from different prevention and control measures before and after 20 January, 2020 were compared.;;Results;From 31 December, 2019 to 20 January, 2020, there were altogether 3 cases of definite COVID-19 infection and 2 ones of suspected COVID-19 infection at the department. One doctor, one technician and one nurse were diagnosed as definite COVID-19 infection while one nurse and one patient as suspected COVID-19 infection. The 4 medical staff members infected were cured and discharged before 14 February, 2020 but unfortunately the one patient infected died. After the prevention and control measures for COVID-19 infection had been upgraded since 20 January, 2020, 12 out of the 29 emergency patients at our wards had fever (body temperature &ge;37.3&#8451;) but none COVID-19 infection. All the 47 medical staff on duty at the department got trained and none of them was infected by COVID-19 or suffered from mental disorder.;;Conclusion;In the epidemic of COVID-19, as our prevention and control measures for COVID-19 infection were adjusted and upgraded in response to the changing epidemic situation, they eliminated nosocomial infection scientifically and effectively and ensured life safety of the medical staff and patients at the department. ;",2020,,Chinese Journal of Orthopaedic Trauma,22,2,E008-E008,,,12664,#11889,YANG 2020,,"* Comparative study, RCT; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
Asymptomatic COVID-19 infection in pregnant woman in the third trimester: a case report,"YAO, Li; WANG, Jing; ZHAO, Jingjing; CUI, Jing; HU, Zhihang","We report a case of asymptomatic COVID-19 infection in a pregnant woman in the third trimester with good maternal and infant outcomes. The patient was admitted to the Second People&amp;apos;s Hospital of Hefei on February 11, 2020, because of a &quot;positive novel coronavirus nucleic acid test result for one day&quot; at 38 weeks of gestation. No abnormality was observed during her previous regular prenatal examinations. A throat swab sample was obtained from the patient four days before admission due to the diagnosis of COVID-19 infection in her husband and sister on the 14&lt;sup&gt;th&lt;/sup&gt; and 7&lt;sup&gt;th&lt;/sup&gt; day before her admission, and the new coronavirus nucleic acid test showed positive. The patient reported no discomfort before admission. Chest CT on the 3&lt;sup&gt;rd&lt;/sup&gt; after admission showed a small amount of bilateral pleural effusion. Irregular contractions occurred three days after admission and labor was considered to be imminent. An emergency cesarean section was performed and the patient delivered a live baby girl. No tests were performed on amniotic fluid, cord blood or placenta for new coronavirus nuclei acid. The patient was isolated from the infant without breastfeeding after surgery. All medical staff involved in the cesarean section were isolated after surgery. Neonatal peripheral blood and nasopharyngeal swabs were collected for the new coronavirus nucleic acid tests on the day of birth and one day of age respectively, and nasopharyngeal swabs and anal suabs were taken at nine days after birth. All test results were negative. The patient recovered well after surgery with stable vital signs. Chest CT on the 8&lt;sup&gt;th&lt;/sup&gt; after operation showed a small amount of bilateral pleural effusion, while the new coronavirus nucleic acid test results of the pharyngeal swabs were positive on the 11&lt;sup&gt;th&lt;/sup&gt; and 12&lt;sup&gt;th&lt;/sup&gt; day after operation. The throat swabs of all medical staff involved in the operation were negative 14 days after the operation. The mother and baby were discharged 14 days after the Cesarean section.",2020,,Chinese Journal of Perinatal Medicine,23,3,229-231,,,12713,#11900,YAO 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",24-03-20
A systematic review of lopinavir therapy for SARS coronavirus and MERS coronavirus-A possible reference for coronavirus disease-19 treatment option Audio Interview: Preparing for the Spread of Covid-19,"Yao, T. T.; Qian, J. D.; Zhu, W. Y.; Wang, Y.; Wang, G. Q.; Rubin, E. J.; Baden, L. R.; Morrissey, S.","In the past few decades, coronaviruses have risen as a global threat to public health. Currently, the outbreak of coronavirus disease-19 (COVID-19) from Wuhan caused a worldwide panic. There are no specific antiviral therapies for COVID-19. However, there are agents that were used during the severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS) epidemics. We could learn from SARS and MERS. Lopinavir (LPV) is an effective agent that inhibits the protease activity of coronavirus. In this review, we discuss the literature on the efficacy of LPV in vitro and in vivo, especially in patients with SARS and MERS, so that we might clarify the potential for the use of LPV in patients with COVID-19.",2020,,Journal of medical virology The New England journal of medicine,382,9,e18,32101683,10.1002/jmv.25729 10.1056/NEJMe2003319,14329,#13367,Yao 2020,,* Systematic review; Other related diseases and viruses,24-03-20
[Explanation of expert recommendations on medical nutrition for patients with novel coronavirus pneumonia],"Yu, K. Y.; Shi, H. P.",,2020,,Zhonghua yi xue za zhi,100,10,724-728,32192285,10.3760/cma.j.cn112137-20200205-00196,13708,#13389,Yu 2020,,"Clinical aspects, diagnosis, treatment",24-03-20
"[Respiratory support for severe 2019-nCoV pneumonia suffering from acute respiratory failure: time and strategy] COVID-19, Australia: Epidemiology Report 4 (Reporting week ending 19:00 AEDT 22 February 2020)","Yuan, X.; Mu, J. S.; Mo, G. X.; Hu, X. S.; Yan, P.; Xie, L. X.","Respiratory support is a very important technique for saving severe 2019-nCoV pneumonia patients who suffering respiratory failure, which can improve oxygenation, reduce mortality. Therefore, how to reasonable using respiratory support technique is the key point that relating success or failure. In this paper, the authors introduce their experience on treating severe 2019-nCoV pneumonia, it is hopeful for current fighting against 2019-nCoV in China. This is the fourth epidemiological report for coronavirus disease 2019 (COVID-19), reported in Australia as at 19:00 Australian Eastern Daylight Time [AEDT] 22 February 2020. It includes data on COVID-19 cases diagnosed in Australia, the international situation and a review of current evidence.",2020,,Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases Communicable diseases intelligence (2018),43,3,E010,32098616,10.3760/cma.j.issn.1001-0939.2020.0010 10.33321/cdi.2020.44.17,13260,#13392,Yuan 2020,,"Clinical aspects, diagnosis, treatment",24-03-20
Facial mask: A necessity to beat COVID-19,"Zhai, John","The view of an air quality and ventilation expert The rapid global rise of infected coronavirus cases after China dramatically impacts the daily life of everyone in every facet. Schools are closing, people are working from home, and stores are filling with panic shoppers. However, lessons learned the hard way in China have been disregarded in a majority of hard-hit countries globally, such as the enforcement of using facial masks. Authorities of most developed countries make two primary suggestions to the general public: keeping social distance and washing hands. These are surely effective in defeating potential virus dispersion through direct contact and droplet transmission. Neither WHO nor US CDC encourage the usage of facial masks for the general public, rather only for those who are infected and who are in medical care environments. The reasoning can be fivefold.[truncated]",2020,,Building and Environment,,,106827-106827,,10.1016/j.buildenv.2020.106827,12499,#11913,Zhai 2020,,* Opinion piece,24-03-20
